Participant,Condition,LDA_F0.5_Score,SVM_F0.5_Score,LDA_Accuracy,SVM_Accuracy
1,Joystick,0.7428603151471118,0.8467524659448162,0.3964285714285714,0.3464285714285714
2,Joystick,0.3800803016756107,0.7676643934483908,0.10357142857142856,0.18928571428571428
3,Joystick,0.7235930460711367,0.9032886530403808,0.5333333333333333,0.5
4,Joystick,,,,
5,Joystick,0.7394711669911083,0.8446056547619047,0.42857142857142855,0.42857142857142855
6,Joystick,0.630712940061769,0.7798426948625113,0.3142857142857143,0.4523809523809524
7,Joystick,,,,
8,Joystick,0.4047688980844198,0.6972353106213316,0.19285714285714284,0.24642857142857139
9,Joystick,0.6655345705598019,0.755500884564352,0.2571428571428571,0.2571428571428571
10,Joystick,0.5892484121693047,0.7886772702874824,0.19285714285714284,0.3107142857142857
11,Joystick,0.4751284764932494,0.7821269139512499,0.15357142857142855,0.31071428571428567
12,Joystick,0.45386890869366914,0.7765305723198584,0.13214285714285712,0.20714285714285713
13,Joystick,0.5104322557219109,0.7125402180700954,0.23333333333333334,0.32380952380952377
14,Joystick,0.5715568853292754,0.8139926093243659,0.24642857142857144,0.39285714285714285
1,Leaning,0.461563065648145,0.680011272546245,0.1392857142857143,0.16785714285714287
2,Leaning,0.3829434948430479,0.7205092686472392,0.12857142857142856,0.13571428571428573
3,Leaning,0.4472096657550314,0.7151613496831557,0.25,0.23928571428571424
4,Leaning,,,,
5,Leaning,0.71995751651422,0.8040596247157822,0.2857142857142857,0.33214285714285713
6,Leaning,0.4627769836502166,0.7418864204012618,0.3464285714285714,0.2642857142857143
7,Leaning,,,,
8,Leaning,0.5712940242424006,0.7721332469882307,0.3,0.29999999999999993
9,Leaning,0.5398328007224313,0.7248208306184393,0.2928571428571428,0.21428571428571425
10,Leaning,0.5343983555890055,0.7847456313823451,0.15238095238095237,0.18571428571428572
11,Leaning,0.5241238743955667,0.7782263037350248,0.1714285714285714,0.2571428571428571
12,Leaning,0.6012167565555849,0.8186013498113512,0.18666666666666668,0.19333333333333333
13,Leaning,0.46558720228241385,0.6973102868487157,0.19999999999999998,0.14285714285714285
14,Leaning,0.589923732848512,0.7385264408793821,0.30357142857142855,0.22857142857142856
1,Omnideck,0.4953334547510089,0.7892096783851146,0.1476190476190476,0.1714285714285714
2,Omnideck,0.44091235011538615,0.7459513318829119,0.1571428571428571,0.21904761904761907
3,Omnideck,0.7451606471870652,0.7874362373685242,0.4166666666666667,0.5333333333333333
4,Omnideck,,,,
5,Omnideck,0.38266956904729643,0.5495579285296004,0.18571428571428572,0.10714285714285714
6,Omnideck,0.6107918446379579,0.7397845820451068,0.29999999999999993,0.2952380952380952
7,Omnideck,0.44989107049424026,0.6008520617058997,0.1571428571428571,0.06190476190476191
8,Omnideck,0.5953746601214827,0.7286886148884595,0.27142857142857146,0.13571428571428573
9,Omnideck,0.6886241536241536,0.8462356053532524,0.4,0.2
10,Omnideck,0.4754061979868432,0.7443344645550528,0.1,0.26666666666666666
11,Omnideck,0.5757470832606958,0.8127774129536917,0.33214285714285713,0.2785714285714286
12,Omnideck,0.5683902685699714,0.7641047500578569,0.10666666666666666,0.36
13,Omnideck,0.5876385643706705,0.7385054157001527,0.21071428571428572,0.18214285714285713
14,Omnideck,0.47469663361527514,0.7420170425427387,0.1476190476190476,0.20476190476190476
1,Walking,0.4370515292384359,0.7258229287405612,0.1476190476190476,0.2
2,Walking,0.38951416258380944,0.7312309740906655,0.16428571428571428,0.1392857142857143
3,Walking,0.45626732001906617,0.7758864248605586,0.2642857142857143,0.45
4,Walking,,,,
5,Walking,0.09676535087719298,0.5710470085470086,0.0,0.05714285714285714
6,Walking,0.608269177982526,0.8129662264590707,0.47142857142857136,0.33809523809523806
7,Walking,0.4201598667701285,0.6974817447108392,0.09047619047619046,0.09523809523809523
8,Walking,0.6468070844710349,0.7805280561550829,0.26666666666666666,0.27999999999999997
9,Walking,0.4612897552371237,0.7481422352241771,0.23571428571428568,0.18571428571428572
10,Walking,0.595314230769856,0.7978210437199842,0.26666666666666666,0.3714285714285714
11,Walking,0.45245075597444606,0.7857260292248904,0.13571428571428573,0.3071428571428571
12,Walking,0.4773838605370127,0.8284776626198133,0.18,0.09
13,Walking,0.8085957268860848,0.8272784067917968,0.55,0.4833333333333333
14,Walking,0.738796280262145,0.8579626454715225,0.3809523809523809,0.5285714285714286
