Participant,Condition,LDA_F0.5_Score,SVM_F0.5_Score,LDA_Accuracy,SVM_Accuracy
1,Joystick,0.7670672400942445,0.8866182793506676,0.18928571428571428,0.23928571428571424
2,Joystick,0.6679791111814473,0.8567977161727163,0.18571428571428572,0.0
3,Joystick,0.6735284434442552,0.8728655050825311,0.16071428571428573,0.15357142857142855
4,Joystick,,,,
5,Joystick,0.6856431657529585,0.8225177929268795,0.21428571428571427,0.3285714285714286
6,Joystick,0.8314259038873502,0.8671101495543159,0.125,0.16428571428571428
7,Joystick,,,,
8,Joystick,0.7813059329064178,0.8998671456357558,0.13571428571428573,0.31785714285714284
9,Joystick,0.676262184932845,0.8796977941722031,0.07857142857142857,0.15357142857142855
10,Joystick,0.6844316620310561,0.9048451459906206,0.13214285714285712,0.08214285714285714
11,Joystick,0.6909224482321382,0.9025230124932501,0.15357142857142855,0.13571428571428573
12,Joystick,0.6715608859614068,0.8983476796512939,0.18214285714285713,0.08214285714285714
13,Joystick,0.6979164960179756,0.870335020036357,0.11071428571428572,0.16071428571428573
14,Joystick,0.8005175991621923,0.9134502238883682,0.3214285714285714,0.3178571428571429
1,Leaning,0.7303925605965234,0.850858052697373,0.2107142857142857,0.1392857142857143
2,Leaning,0.6343669388359798,0.8583594944746877,0.20714285714285713,0.05357142857142857
3,Leaning,0.7115232503689191,0.8468102557518271,0.18928571428571428,0.1821428571428571
4,Leaning,,,,
5,Leaning,0.6184491609126082,0.8228589441522765,0.16071428571428573,0.1571428571428571
6,Leaning,0.6830496300381597,0.8681117255442331,0.15357142857142855,0.20357142857142857
7,Leaning,,,,
8,Leaning,0.65758570418662,0.8986912463842851,0.075,0.29285714285714287
9,Leaning,0.693532979187012,0.8844638636387531,0.15357142857142855,0.1821428571428571
10,Leaning,0.7028605718868385,0.8727881865304947,0.21428571428571427,0.18214285714285713
11,Leaning,0.7320798857125069,0.9028414431067107,0.15357142857142855,0.1571428571428571
12,Leaning,0.6550289458938858,0.8388624075553984,0.1571428571428571,0.21428571428571427
13,Leaning,0.690529514463918,0.8165855164723267,0.11071428571428572,0.15714285714285714
14,Leaning,0.6369393276037442,0.8542903192642362,0.15714285714285714,0.10714285714285714
1,Omnideck,0.6184066568400878,0.8928623228180855,0.21428571428571427,0.13214285714285715
2,Omnideck,0.6733953771763745,0.8757895973123366,0.10357142857142856,0.15714285714285714
3,Omnideck,,,,
4,Omnideck,,,,
5,Omnideck,0.7014482108428737,0.8310939095291865,0.1607142857142857,0.10357142857142856
6,Omnideck,0.7579541016636271,0.8275453267161227,0.18571428571428572,0.2607142857142857
7,Omnideck,0.7945642471984096,0.9174000358445189,0.2571428571428571,0.2607142857142857
8,Omnideck,0.61582139741439,0.844637872392437,0.025,0.13214285714285715
9,Omnideck,0.7156524936617588,0.8751735231060813,0.18214285714285713,0.22857142857142856
10,Omnideck,0.5596982595091029,0.8447179577638769,0.20357142857142857,0.13214285714285715
11,Omnideck,0.7615431720463895,0.9136303990581656,0.28928571428571426,0.2678571428571429
12,Omnideck,0.6520310991152619,0.8028340381201658,0.12857142857142856,0.1857142857142857
13,Omnideck,0.7302372372615935,0.9141289292769752,0.18214285714285713,0.23214285714285712
14,Omnideck,0.7203286362344731,0.8876227964463259,0.1392857142857143,0.16071428571428573
1,Walking,0.7836877121045411,0.8991407383809424,0.23928571428571427,0.19285714285714284
2,Walking,0.7271245819456721,0.8580396453059752,0.27142857142857146,0.13214285714285715
3,Walking,0.8184341254087505,0.8990484791016705,0.15357142857142855,0.21428571428571427
4,Walking,,,,
5,Walking,0.6430520115903195,0.789647776152401,0.18571428571428572,0.10714285714285714
6,Walking,0.6314036530027509,0.8766849576282516,0.16071428571428573,0.22857142857142856
7,Walking,0.7176837890370432,0.8865791487181127,0.18928571428571428,0.13571428571428573
8,Walking,0.707616395626582,0.87619480637922,0.32142857142857145,0.23571428571428568
9,Walking,0.7474977335472561,0.867117522965372,0.18571428571428572,0.23571428571428568
10,Walking,0.8132061138256802,0.9113682860868504,0.28928571428571426,0.33571428571428574
11,Walking,0.7952183543660151,0.9159261023111526,0.32142857142857145,0.2678571428571429
12,Walking,0.7656880050373284,0.898161421966762,0.225,0.13571428571428573
13,Walking,,,,
14,Walking,0.7422219231994405,0.8903636311019214,0.23571428571428568,0.2678571428571429
