Participant,Condition,LDA_F0.5_Score,SVM_F0.5_Score,LDA_Accuracy,SVM_Accuracy
1,Joystick,0.729550882010576,0.8420938348051099,0.16785714285714287,0.22142857142857145
2,Joystick,0.6814425829825386,0.8817606828578348,0.12857142857142856,0.05
3,Joystick,0.7187695571104659,0.8711727128827658,0.21071428571428572,0.31071428571428567
4,Joystick,,,,
5,Joystick,0.842493569842446,0.8973302522962445,0.21428571428571427,0.18928571428571428
6,Joystick,0.6120430106457937,0.8083013588823544,0.08214285714285714,0.15357142857142855
7,Joystick,,,,
8,Joystick,0.6775545284106412,0.8440860159826213,0.13571428571428573,0.16071428571428573
9,Joystick,0.7509674390813135,0.8716263193088715,0.2607142857142857,0.17857142857142855
10,Joystick,0.7214332016939019,0.8647469804763922,0.1607142857142857,0.10357142857142856
11,Joystick,0.798973061658226,0.8996038009346783,0.33214285714285713,0.4035714285714286
12,Joystick,0.6802646120188027,0.8501883059807623,0.12857142857142856,0.13571428571428573
13,Joystick,0.6537399780493702,0.8324321674188695,0.3464285714285714,0.18928571428571428
14,Joystick,0.6286973521294005,0.8484073135874721,0.1392857142857143,0.13214285714285715
1,Leaning,0.5981890783558906,0.8302134155630106,0.20714285714285713,0.1821428571428571
2,Leaning,0.6329645529926315,0.841432477316714,0.13214285714285712,0.07857142857142857
3,Leaning,0.7733863327053229,0.879792009607419,0.22142857142857145,0.23571428571428568
4,Leaning,,,,
5,Leaning,0.830865948488588,0.893634312518234,0.3642857142857142,0.28928571428571426
6,Leaning,0.7223022902340595,0.8343070772041402,0.2607142857142857,0.10714285714285714
7,Leaning,,,,
8,Leaning,0.6867488252593221,0.845886088549132,0.15357142857142855,0.22857142857142856
9,Leaning,0.7553320170660858,0.9240091028221886,0.2178571428571429,0.35
10,Leaning,0.7317454656116129,0.8406911511505599,0.21785714285714283,0.26071428571428573
11,Leaning,0.6527418852807857,0.8911927106599246,0.12857142857142856,0.13214285714285712
12,Leaning,0.7282213796234176,0.8627928536898256,0.21071428571428572,0.1571428571428571
13,Leaning,0.6672703791730255,0.8528821936834869,0.10714285714285714,0.19285714285714287
14,Leaning,0.7214753148803805,0.8208661688509895,0.24285714285714288,0.26785714285714285
1,Omnideck,0.7445813997900044,0.8632444489134841,0.2571428571428571,0.1714285714285714
2,Omnideck,0.674174841870394,0.8621294902872707,0.15714285714285714,0.18928571428571428
3,Omnideck,,,,
4,Omnideck,,,,
5,Omnideck,0.624115046425537,0.7874736952861954,0.10714285714285714,0.05714285714285714
6,Omnideck,0.7328726408780345,0.856347643073953,0.15357142857142855,0.15357142857142855
7,Omnideck,0.7169563598000391,0.8544337053826832,0.14285714285714285,0.2571428571428571
8,Omnideck,0.65642587925107,0.8246477567070863,0.13214285714285712,0.05714285714285714
9,Omnideck,0.7137424399572847,0.8760899541934745,0.07857142857142857,0.2857142857142857
10,Omnideck,0.7236931306428073,0.8661696184343798,0.26785714285714285,0.26785714285714285
11,Omnideck,0.7602577397495305,0.8738297675866663,0.17857142857142855,0.10357142857142856
12,Omnideck,0.5726507320340337,0.8173999355785784,0.21428571428571427,0.13571428571428573
13,Omnideck,0.7828155627289903,0.8497732998159744,0.20714285714285713,0.3178571428571429
14,Omnideck,0.6864302699375572,0.864321228467175,0.17857142857142855,0.15357142857142855
1,Walking,0.71151663710472,0.8922636817288752,0.07857142857142857,0.16071428571428567
2,Walking,0.655911872023297,0.8358926552477612,0.10714285714285714,0.07857142857142857
3,Walking,0.7830603745473562,0.8876428815491909,0.20714285714285713,0.47142857142857136
4,Walking,,,,
5,Walking,0.6455874100481943,0.8060980021953956,0.02857142857142857,0.11428571428571428
6,Walking,0.7419370090094002,0.8739273979644745,0.18214285714285713,0.23928571428571427
7,Walking,0.7066158155536053,0.8776087121562208,0.10357142857142856,0.2107142857142857
8,Walking,0.7716797980942297,0.8826554459272591,0.18928571428571428,0.28928571428571426
9,Walking,0.7320497251435002,0.8917053078300986,0.20714285714285713,0.23214285714285712
10,Walking,0.8293397635853097,0.8984966091073261,0.4178571428571428,0.3142857142857143
11,Walking,0.7872210595693534,0.8647055874194033,0.175,0.23214285714285712
12,Walking,0.730746680882748,0.8870482295482296,0.2642857142857143,0.1571428571428571
13,Walking,,,,
14,Walking,0.7423591515643443,0.8932838111091727,0.1857142857142857,0.31071428571428567
