Participant,Test_Condition,LDA_F0.5,LDA_Accuracy,SVM_F0.5,SVM_Accuracy
1,Joystick,0.5336901763224181,0.10810810810810811,0.4685408299866131,0.13513513513513514
1,Leaning,0.3129346314325452,0.10526315789473684,0.43741808650065533,0.18421052631578946
1,Omnideck,0.5705845771144279,0.17647058823529413,0.5584016393442623,0.23529411764705882
1,Walking,0.556872037914692,0.16216216216216217,0.5472901168969182,0.08108108108108109
2,Joystick,0.5101351351351351,0.2702702702702703,0.43872919818456885,0.13513513513513514
2,Leaning,0.43064024390243905,0.10526315789473684,0.38837744533947066,0.07894736842105263
2,Omnideck,0.39680050188205773,0.15789473684210525,0.41718555417185554,0.15789473684210525
2,Walking,0.3268129770992366,0.10526315789473684,0.4804646251319958,0.05263157894736842
3,Joystick,0.4761055634807418,0.21052631578947367,0.5041348600508906,0.02631578947368421
3,Leaning,0.3332228116710875,0.07894736842105263,0.27365491651205937,0.21052631578947367
3,Omnideck,,,,
3,Walking,0.5848153214774282,0.3684210526315789,0.4028436018957346,0.13157894736842105
4,Joystick,,,,
4,Leaning,,,,
4,Omnideck,,,,
4,Walking,,,,
5,Joystick,0.4900147928994083,0.24324324324324326,0.47473200612557426,0.24324324324324326
5,Leaning,0.4234860883797054,0.13157894736842105,0.5202879581151832,0.10526315789473684
5,Omnideck,0.46501196172248804,0.07894736842105263,0.5035621761658031,0.13157894736842105
5,Walking,0.4906204906204906,0.1111111111111111,0.4989270386266094,0.1388888888888889
6,Joystick,0.4467871485943775,0.10526315789473684,0.47024623803009574,0.10526315789473684
6,Leaning,0.4714285714285714,0.18421052631578946,0.4584527220630373,0.10526315789473684
6,Omnideck,0.3650611620795107,0.15789473684210525,0.41385135135135137,0.15789473684210525
6,Walking,0.5171263345195729,0.05263157894736842,0.4410994764397906,0.07894736842105263
7,Joystick,,,,
7,Leaning,,,,
7,Omnideck,0.4946808510638298,0.08571428571428572,0.5066844919786097,0.05714285714285714
7,Walking,0.39798206278026904,0.05263157894736842,0.37898936170212766,0.02631578947368421
8,Joystick,0.19891122278056952,0.02631578947368421,0.4105392156862745,0.05263157894736842
8,Leaning,0.4198717948717949,0.21052631578947367,0.4645899893503727,0.10526315789473684
8,Omnideck,0.4592959295929593,0.10526315789473684,0.45654911838790935,0.02631578947368421
8,Walking,0.5838815789473685,0.2894736842105263,0.5333553500660502,0.18421052631578946
9,Joystick,0.45566502463054187,0.2894736842105263,0.5537720706260032,0.3684210526315789
9,Leaning,0.47904191616766467,0.10526315789473684,0.45454545454545453,0.02631578947368421
9,Omnideck,0.5038335158817087,0.07894736842105263,0.5422919508867667,0.2894736842105263
9,Walking,0.3694968553459119,0.15789473684210525,0.30707196029776673,0.10526315789473684
10,Joystick,0.3960755813953488,0.02631578947368421,0.39599774520856823,0.05263157894736842
10,Leaning,0.5992647058823529,0.23684210526315788,0.5009603072983355,0.15789473684210525
10,Omnideck,0.41487068965517243,0.23684210526315788,0.424491392801252,0.18421052631578946
10,Walking,0.4185606060606061,0.23684210526315788,0.34574468085106386,0.13157894736842105
11,Joystick,0.5957810718358039,0.15789473684210525,0.5198519515477793,0.21052631578947367
11,Leaning,0.4592746730083234,0.15789473684210525,0.5241935483870968,0.21052631578947367
11,Omnideck,0.5632183908045977,0.2894736842105263,0.5809438470728794,0.23684210526315788
11,Walking,0.5012150668286756,0.18421052631578946,0.5136746143057503,0.23684210526315788
12,Joystick,0.5286402569593148,0.13157894736842105,0.5531453362255966,0.15789473684210525
12,Leaning,0.574052812858783,0.23684210526315788,0.5572660098522167,0.18421052631578946
12,Omnideck,0.4884393063583815,0.18421052631578946,0.44440509915014165,0.23684210526315788
12,Walking,0.5072236180904522,0.23684210526315788,0.4678098676293622,0.2631578947368421
13,Joystick,0.43044469783352335,0.1891891891891892,0.2849887133182844,0.21621621621621623
13,Leaning,0.5992407809110629,0.21052631578947367,0.6205357142857143,0.21052631578947367
13,Omnideck,0.6853932584269663,0.21052631578947367,0.6791237113402062,0.15789473684210525
13,Walking,,,,
14,Joystick,0.5931238615664846,0.10526315789473684,0.6263858093126385,0.18421052631578946
14,Leaning,0.40576923076923077,0.13157894736842105,0.3528446389496718,0.15789473684210525
14,Omnideck,0.5952380952380952,0.23684210526315788,0.5887430939226519,0.34210526315789475
14,Walking,0.6592039800995025,0.18421052631578946,0.6564844587352626,0.21052631578947367
