Participant,Train_Condition,Test_Condition,LDA_F0.5,LDA_Accuracy,SVM_F0.5,SVM_Accuracy
1,Walking,Omnideck,0.49685251798561153,0.16666666666666666,0.4855769230769231,0.08333333333333333
1,Omnideck,Walking,0.5607617896009673,0.08823529411764706,0.5747344461305007,0.3235294117647059
2,Walking,Omnideck,0.46917344173441733,0.03225806451612903,0.4219890510948905,0.22580645161290322
2,Omnideck,Walking,0.5255516840882695,0.030303030303030304,0.5417675544794189,0.15151515151515152
3,Walking,Omnideck,,,,
3,Omnideck,Walking,,,,
4,Walking,Omnideck,,,,
4,Omnideck,Walking,,,,
5,Walking,Omnideck,0.4153397027600849,0.16216216216216217,0.45393318965517243,0.13513513513513514
5,Omnideck,Walking,0.4601990049751244,0.02702702702702703,0.47794117647058826,0.08108108108108109
6,Walking,Omnideck,0.4501434720229555,0.1,0.40406427221172025,0.13333333333333333
6,Omnideck,Walking,0.4484463276836158,0.08823529411764706,0.471875,0.14705882352941177
7,Walking,Omnideck,0.57250656167979,0.23529411764705882,0.6,0.38235294117647056
7,Omnideck,Walking,0.5507286995515696,0.13157894736842105,0.5518867924528302,0.13157894736842105
8,Walking,Omnideck,0.5111976630963972,0.11428571428571428,0.5408653846153846,0.17142857142857143
8,Omnideck,Walking,0.5913814180929096,0.16129032258064516,0.5698151950718686,0.12903225806451613
9,Walking,Omnideck,0.7397572078907435,0.4,0.6717814371257484,0.26666666666666666
9,Omnideck,Walking,0.675383877159309,0.13157894736842105,0.6586402266288952,0.15789473684210525
10,Walking,Omnideck,0.4474708171206226,0.0,0.4696969696969697,0.13793103448275862
10,Omnideck,Walking,0.47371031746031744,0.10810810810810811,0.47910295616717635,0.08108108108108109
11,Walking,Omnideck,0.5741042345276873,0.07142857142857142,0.4985822306238185,0.25
11,Omnideck,Walking,0.644240317775571,0.02702702702702703,0.6536989795918368,0.35135135135135137
12,Walking,Omnideck,0.4807692307692308,0.25,0.5796529968454258,0.0
12,Omnideck,Walking,0.4698905109489051,0.03333333333333333,0.43645251396648044,0.16666666666666666
13,Walking,Omnideck,,,,
13,Omnideck,Walking,,,,
14,Walking,Omnideck,0.39688427299703266,0.2631578947368421,0.5534351145038168,0.21052631578947367
14,Omnideck,Walking,0.5711752786220872,0.0,0.5336161879895561,0.13157894736842105
