Participant,Train_Condition,Test_Condition,LDA_F0.5,LDA_Accuracy,SVM_F0.5,SVM_Accuracy
1,Walking,Omnideck,0.19675925925925927,0.07407407407407407,0.1937984496124031,0.18518518518518517
1,Omnideck,Walking,0.15780730897009967,0.09090909090909091,0.23863636363636365,0.15151515151515152
2,Walking,Omnideck,0.16877637130801687,0.030303030303030304,0.26455026455026454,0.15151515151515152
2,Omnideck,Walking,0.24493243243243243,0.08823529411764706,0.33844765342960287,0.058823529411764705
3,Walking,Omnideck,,,,
3,Omnideck,Walking,,,,
4,Walking,Omnideck,,,,
4,Omnideck,Walking,,,,
5,Walking,Omnideck,0.16288951841359772,0.02857142857142857,0.10416666666666667,0.02857142857142857
5,Omnideck,Walking,0.18312101910828024,0.13333333333333333,0.10869565217391304,0.03333333333333333
6,Walking,Omnideck,0.2932692307692308,0.21212121212121213,0.20734597156398105,0.12121212121212122
6,Omnideck,Walking,0.18421052631578946,0.25,0.20522388059701493,0.125
7,Walking,Omnideck,0.20053475935828877,0.05555555555555555,0.2803738317757009,0.027777777777777776
7,Omnideck,Walking,0.2701543739279588,0.02702702702702703,0.2147239263803681,0.08108108108108109
8,Walking,Omnideck,0.33547794117647056,0.2,0.2876984126984127,0.22857142857142856
8,Omnideck,Walking,0.23848684210526316,0.058823529411764705,0.2514792899408284,0.17647058823529413
9,Walking,Omnideck,0.4483695652173913,0.2571428571428571,0.4143646408839779,0.2857142857142857
9,Omnideck,Walking,0.3215223097112861,0.1111111111111111,0.3073770491803279,0.19444444444444445
10,Walking,Omnideck,0.1884422110552764,0.13513513513513514,0.1483050847457627,0.10810810810810811
10,Omnideck,Walking,0.27976190476190477,0.14285714285714285,0.05841121495327103,0.08571428571428572
11,Walking,Omnideck,0.17265193370165746,0.09375,0.3373015873015873,0.09375
11,Omnideck,Walking,0.29605263157894735,0.15789473684210525,0.32971014492753625,0.10526315789473684
12,Walking,Omnideck,0.2398989898989899,0.2727272727272727,0.15330188679245282,0.045454545454545456
12,Omnideck,Walking,0.225,0.0,0.4076086956521739,0.09090909090909091
13,Walking,Omnideck,,,,
13,Omnideck,Walking,,,,
14,Walking,Omnideck,0.3200301204819277,0.038461538461538464,0.34646739130434784,0.19230769230769232
14,Omnideck,Walking,0.4700413223140496,0.20689655172413793,0.5747126436781609,0.5172413793103449
