Participant,Condition,Time,LDA_Errors,SVM_Errors
10,Leaning,-6.0,7,6
10,Leaning,-5.875,7,7
10,Leaning,-5.75,7,6
10,Leaning,-5.625,6,6
10,Leaning,-5.5,5,8
10,Leaning,-5.375,6,7
10,Leaning,-5.25,5,7
10,Leaning,-5.125,6,6
10,Leaning,-5.0,4,6
10,Leaning,-4.875,4,6
10,Leaning,-4.75,5,6
10,Leaning,-4.625,5,6
10,Leaning,-4.5,6,7
10,Leaning,-4.375,6,9
10,Leaning,-4.25,6,8
10,Leaning,-4.125,6,6
10,Leaning,-4.0,7,7
10,Leaning,-3.875,7,8
10,Leaning,-3.75,8,7
10,Leaning,-3.625,9,6
10,Leaning,-3.5,10,7
10,Leaning,-3.375,11,8
10,Leaning,-3.25,9,10
10,Leaning,-3.125,9,9
10,Leaning,-3.0,12,7
10,Leaning,-2.875,12,8
10,Leaning,-2.75,12,10
10,Leaning,-2.625,14,11
10,Leaning,-2.5,17,14
10,Leaning,-2.375,20,23
10,Leaning,-2.25,19,23
10,Leaning,-2.125,18,22
10,Leaning,-2.0,18,20
10,Leaning,-1.875,17,18
10,Leaning,-1.75,17,16
10,Leaning,-1.625,18,16
10,Leaning,-1.5,17,16
10,Leaning,-1.375,16,16
10,Leaning,-1.25,16,15
10,Leaning,-1.125,15,14
10,Leaning,-1.0,12,12
10,Leaning,-0.875,9,11
10,Leaning,-0.75,9,12
10,Leaning,-0.625,9,10
10,Leaning,-0.5,11,9
10,Leaning,-0.375,13,10
10,Leaning,-0.25,15,10
10,Leaning,-0.125,15,11
10,Leaning,0.0,18,12
