Participant,Condition,Time,LDA_Errors,SVM_Errors
13,Omnideck,-6.0,13,6
13,Omnideck,-5.875,10,7
13,Omnideck,-5.75,10,10
13,Omnideck,-5.625,10,10
13,Omnideck,-5.5,7,7
13,Omnideck,-5.375,7,7
13,Omnideck,-5.25,6,6
13,Omnideck,-5.125,9,6
13,Omnideck,-5.0,10,8
13,Omnideck,-4.875,9,6
13,Omnideck,-4.75,9,7
13,Omnideck,-4.625,10,8
13,Omnideck,-4.5,8,8
13,Omnideck,-4.375,8,7
13,Omnideck,-4.25,8,4
13,Omnideck,-4.125,6,5
13,Omnideck,-4.0,7,6
13,Omnideck,-3.875,7,6
13,Omnideck,-3.75,7,5
13,Omnideck,-3.625,6,6
13,Omnideck,-3.5,6,6
13,Omnideck,-3.375,6,7
13,Omnideck,-3.25,5,7
13,Omnideck,-3.125,8,8
13,Omnideck,-3.0,8,6
13,Omnideck,-2.875,8,7
13,Omnideck,-2.75,9,7
13,Omnideck,-2.625,12,6
13,Omnideck,-2.5,14,8
13,Omnideck,-2.375,24,28
13,Omnideck,-2.25,24,29
13,Omnideck,-2.125,22,27
13,Omnideck,-2.0,16,20
13,Omnideck,-1.875,14,17
13,Omnideck,-1.75,9,17
13,Omnideck,-1.625,8,12
13,Omnideck,-1.5,5,9
13,Omnideck,-1.375,4,6
13,Omnideck,-1.25,6,4
13,Omnideck,-1.125,6,4
13,Omnideck,-1.0,6,3
13,Omnideck,-0.875,4,4
13,Omnideck,-0.75,6,5
13,Omnideck,-0.625,6,7
13,Omnideck,-0.5,6,9
13,Omnideck,-0.375,6,9
13,Omnideck,-0.25,7,8
13,Omnideck,-0.125,13,8
13,Omnideck,0.0,16,12
