Participant,Condition,Time,LDA_Errors,SVM_Errors
2,Walking,-5.0,8,14
2,Walking,-4.875,10,13
2,Walking,-4.75,10,11
2,Walking,-4.625,9,10
2,Walking,-4.5,8,12
2,Walking,-4.375,7,11
2,Walking,-4.25,7,11
2,Walking,-4.125,7,10
2,Walking,-4.0,8,9
2,Walking,-3.875,8,7
2,Walking,-3.75,8,7
2,Walking,-3.625,7,7
2,Walking,-3.5,10,9
2,Walking,-3.375,11,11
2,Walking,-3.25,11,10
2,Walking,-3.125,12,9
2,Walking,-3.0,13,12
2,Walking,-2.875,13,11
2,Walking,-2.75,13,12
2,Walking,-2.625,11,10
2,Walking,-2.5,10,10
2,Walking,-2.375,10,8
2,Walking,-2.25,12,6
2,Walking,-2.125,11,7
2,Walking,-2.0,10,13
2,Walking,-1.875,10,14
2,Walking,-1.75,10,13
2,Walking,-1.625,10,12
2,Walking,-1.5,12,17
2,Walking,-1.375,27,21
2,Walking,-1.25,24,20
2,Walking,-1.125,20,21
2,Walking,-1.0,19,20
2,Walking,-0.875,17,21
2,Walking,-0.75,17,21
2,Walking,-0.625,17,20
2,Walking,-0.5,14,16
2,Walking,-0.375,13,16
2,Walking,-0.25,13,17
2,Walking,-0.125,11,18
2,Walking,0.0,11,16
2,Walking,0.125,12,15
2,Walking,0.25,13,21
2,Walking,0.375,16,22
2,Walking,0.5,20,22
2,Walking,0.625,20,24
2,Walking,0.75,20,22
2,Walking,0.875,21,22
2,Walking,1.0,19,21
