Participant,Condition,Time,LDA_Errors,SVM_Errors
12,Joystick,-5.0,12,9
12,Joystick,-4.875,14,12
12,Joystick,-4.75,13,12
12,Joystick,-4.625,12,14
12,Joystick,-4.5,13,19
12,Joystick,-4.375,15,19
12,Joystick,-4.25,13,19
12,Joystick,-4.125,14,18
12,Joystick,-4.0,14,16
12,Joystick,-3.875,14,17
12,Joystick,-3.75,14,15
12,Joystick,-3.625,15,13
12,Joystick,-3.5,17,14
12,Joystick,-3.375,17,13
12,Joystick,-3.25,17,12
12,Joystick,-3.125,15,13
12,Joystick,-3.0,13,12
12,Joystick,-2.875,13,13
12,Joystick,-2.75,11,13
12,Joystick,-2.625,11,13
12,Joystick,-2.5,10,10
12,Joystick,-2.375,9,9
12,Joystick,-2.25,11,8
12,Joystick,-2.125,9,7
12,Joystick,-2.0,9,11
12,Joystick,-1.875,8,8
12,Joystick,-1.75,9,10
12,Joystick,-1.625,9,12
12,Joystick,-1.5,12,14
12,Joystick,-1.375,23,22
12,Joystick,-1.25,21,19
12,Joystick,-1.125,20,16
12,Joystick,-1.0,17,18
12,Joystick,-0.875,15,18
12,Joystick,-0.75,13,16
12,Joystick,-0.625,12,18
12,Joystick,-0.5,16,17
12,Joystick,-0.375,18,18
12,Joystick,-0.25,19,17
12,Joystick,-0.125,18,17
12,Joystick,0.0,18,17
12,Joystick,0.125,19,14
12,Joystick,0.25,19,15
12,Joystick,0.375,18,17
12,Joystick,0.5,20,16
12,Joystick,0.625,22,16
12,Joystick,0.75,23,15
12,Joystick,0.875,22,14
12,Joystick,1.0,22,12
