Condition,Time,LDA_Errors,SVM_Errors
Joystick,-6.0,109,87
Joystick,-5.875,115,93
Joystick,-5.75,113,101
Joystick,-5.625,115,104
Joystick,-5.5,110,111
Joystick,-5.375,111,112
Joystick,-5.25,121,113
Joystick,-5.125,118,114
Joystick,-5.0,121,110
Joystick,-4.875,126,108
Joystick,-4.75,127,108
Joystick,-4.625,126,108
Joystick,-4.5,116,101
Joystick,-4.375,111,107
Joystick,-4.25,114,105
Joystick,-4.125,110,103
Joystick,-4.0,112,103
Joystick,-3.875,110,108
Joystick,-3.75,103,108
Joystick,-3.625,102,111
Joystick,-3.5,111,111
Joystick,-3.375,112,110
Joystick,-3.25,111,108
Joystick,-3.125,107,111
Joystick,-3.0,114,115
Joystick,-2.875,125,127
Joystick,-2.75,128,127
Joystick,-2.625,136,132
Joystick,-2.5,146,140
Joystick,-2.375,302,300
Joystick,-2.25,290,284
Joystick,-2.125,279,280
Joystick,-2.0,253,261
Joystick,-1.875,233,249
Joystick,-1.75,225,236
Joystick,-1.625,211,221
Joystick,-1.5,189,197
Joystick,-1.375,185,191
Joystick,-1.25,170,182
Joystick,-1.125,165,179
Joystick,-1.0,160,156
Joystick,-0.875,163,158
Joystick,-0.75,160,146
Joystick,-0.625,154,143
Joystick,-0.5,150,140
Joystick,-0.375,146,144
Joystick,-0.25,148,136
Joystick,-0.125,161,133
Joystick,0.0,218,149
Leaning,-6.0,94,82
Leaning,-5.875,102,97
Leaning,-5.75,107,103
Leaning,-5.625,108,110
Leaning,-5.5,113,116
Leaning,-5.375,113,123
Leaning,-5.25,108,119
Leaning,-5.125,105,116
Leaning,-5.0,107,108
Leaning,-4.875,105,112
Leaning,-4.75,108,111
Leaning,-4.625,106,108
Leaning,-4.5,117,102
Leaning,-4.375,119,110
Leaning,-4.25,115,109
Leaning,-4.125,112,108
Leaning,-4.0,102,113
Leaning,-3.875,99,109
Leaning,-3.75,104,108
Leaning,-3.625,106,116
Leaning,-3.5,108,125
Leaning,-3.375,113,131
Leaning,-3.25,110,128
Leaning,-3.125,122,125
Leaning,-3.0,135,130
Leaning,-2.875,135,142
Leaning,-2.75,141,146
Leaning,-2.625,144,155
Leaning,-2.5,166,170
Leaning,-2.375,281,277
Leaning,-2.25,266,275
Leaning,-2.125,258,264
Leaning,-2.0,246,245
Leaning,-1.875,230,233
Leaning,-1.75,224,217
Leaning,-1.625,212,201
Leaning,-1.5,183,192
Leaning,-1.375,168,182
Leaning,-1.25,158,163
Leaning,-1.125,153,160
Leaning,-1.0,155,157
Leaning,-0.875,147,148
Leaning,-0.75,159,145
Leaning,-0.625,160,142
Leaning,-0.5,165,139
Leaning,-0.375,165,137
Leaning,-0.25,178,134
Leaning,-0.125,191,142
Leaning,0.0,223,170
Omnideck,-6.0,123,94
Omnideck,-5.875,126,114
Omnideck,-5.75,131,118
Omnideck,-5.625,125,119
Omnideck,-5.5,125,127
Omnideck,-5.375,119,125
Omnideck,-5.25,124,126
Omnideck,-5.125,121,120
Omnideck,-5.0,111,108
Omnideck,-4.875,109,111
Omnideck,-4.75,115,112
Omnideck,-4.625,113,109
Omnideck,-4.5,103,121
Omnideck,-4.375,104,125
Omnideck,-4.25,99,127
Omnideck,-4.125,97,118
Omnideck,-4.0,91,116
Omnideck,-3.875,94,121
Omnideck,-3.75,98,119
Omnideck,-3.625,101,120
Omnideck,-3.5,99,126
Omnideck,-3.375,103,125
Omnideck,-3.25,104,126
Omnideck,-3.125,107,120
Omnideck,-3.0,114,124
Omnideck,-2.875,121,125
Omnideck,-2.75,137,139
Omnideck,-2.625,143,148
Omnideck,-2.5,150,151
Omnideck,-2.375,280,292
Omnideck,-2.25,273,279
Omnideck,-2.125,266,271
Omnideck,-2.0,236,258
Omnideck,-1.875,227,246
Omnideck,-1.75,216,246
Omnideck,-1.625,207,234
Omnideck,-1.5,192,209
Omnideck,-1.375,186,201
Omnideck,-1.25,186,196
Omnideck,-1.125,179,184
Omnideck,-1.0,169,182
Omnideck,-0.875,173,180
Omnideck,-0.75,181,167
Omnideck,-0.625,188,160
Omnideck,-0.5,186,170
Omnideck,-0.375,193,175
Omnideck,-0.25,196,171
Omnideck,-0.125,197,175
Omnideck,0.0,222,186
Walking,-6.0,116,79
Walking,-5.875,111,90
Walking,-5.75,110,96
Walking,-5.625,113,101
Walking,-5.5,107,103
Walking,-5.375,110,103
Walking,-5.25,110,106
Walking,-5.125,107,103
Walking,-5.0,102,97
Walking,-4.875,102,96
Walking,-4.75,99,89
Walking,-4.625,101,87
Walking,-4.5,98,82
Walking,-4.375,101,87
Walking,-4.25,91,78
Walking,-4.125,91,75
Walking,-4.0,83,76
Walking,-3.875,88,74
Walking,-3.75,95,69
Walking,-3.625,96,76
Walking,-3.5,100,90
Walking,-3.375,95,92
Walking,-3.25,106,94
Walking,-3.125,116,95
Walking,-3.0,135,105
Walking,-2.875,140,116
Walking,-2.75,145,130
Walking,-2.625,153,137
Walking,-2.5,167,157
Walking,-2.375,271,283
Walking,-2.25,259,277
Walking,-2.125,255,262
Walking,-2.0,225,237
Walking,-1.875,206,224
Walking,-1.75,185,206
Walking,-1.625,166,191
Walking,-1.5,150,152
Walking,-1.375,139,140
Walking,-1.25,133,127
Walking,-1.125,133,127
Walking,-1.0,131,119
Walking,-0.875,127,122
Walking,-0.75,124,125
Walking,-0.625,121,125
Walking,-0.5,124,124
Walking,-0.375,125,126
Walking,-0.25,127,123
Walking,-0.125,136,125
Walking,0.0,162,139
